month,new_house_index,old_house_index,new_house_yoy,old_house_yoy,new_house_accum,old_house_accum
2025-04-01,99.8,99.0,96.8,85.5,100.0,99.2
2025-05-01,100.0,99.2,96.5,85.2,100.2,99.5
2025-06-01,100.2,99.5,96.2,85.0,100.5,99.8
2025-07-01,100.5,99.8,96.0,84.8,100.8,100.0
2025-08-01,100.8,100.0,95.8,84.5,101.2,100.2
2025-09-01,101.0,100.2,95.5,84.2,101.5,100.5
2025-10-01,101.2,100.5,95.2,84.0,101.8,100.8
2025-11-01,101.5,100.8,95.0,83.8,102.2,101.0
2025-12-01,101.8,101.0,94.8,83.5,102.5,101.2
2026-01-01,100.5,100.2,94.5,92.5,100.5,100.2
2026-02-01,100.8,100.5,94.2,92.2,100.8,100.5
2026-03-01,101.0,101.0,94.0,91.8,101.0,100.8
2026-04-01,101.2,101.2,93.8,91.5,101.2,101.0
